id,name,city,room_type,host_type,badges,price_str,price_eur,rating_str,rating,nb_reviews,is_new_listing,person_capacity,latitude,longitude
RGVtYW5kU3RheUxpc3Rpbmc6MTYxOTUyNTYwNTQ2NjE1MTg3OQ==,"Studio Centre-ville, proche métro et Paris",Boulogne-Billancourt,Appartement,Particulier,Annulation gratuite,630 €,630.0,"4,9 (21)",4.9,21.0,False,,48.83843,2.24682
RGVtYW5kU3RheUxpc3Rpbmc6MTY0NzEyNzgwMTk4MTczMzgwMA==,Cosy flat 8min du métro &Parking intérieur gratuit,Saint-Denis,Appartement,Particulier,Annulation gratuite,731 €,731.0,"5,0 (9)",5.0,9.0,False,,48.924,2.3643
RGVtYW5kU3RheUxpc3Rpbmc6MTY2NTkzMjcxNDk3MzkwODk2NA==,Charmant studio climatisé /2P- La Villette,Paris,Appartement,Particulier,Annulation gratuite,,,Nouveau,,,True,,48.88631,2.39245
RGVtYW5kU3RheUxpc3Rpbmc6MTE4NjM1MDE5NTE3NzUwODgxOA==,"Bienvenue au calme 
Chambre avec sa SDB privée",Boulogne-Billancourt,Chambre,,Annulation gratuite,665 €,665.0,"4,88 (43)",4.88,43.0,False,,48.8384,2.2489
RGVtYW5kU3RheUxpc3Rpbmc6MTY2NTIzNzc0NjYwMjE1NjQ0NA==,Studio parisien 20m2 en face du musee Grevin - 2P,Paris,Appartement,Professionnel,,608 €,608.0,Nouveau,,,True,,48.86911857028888,2.342793087608424
RGVtYW5kU3RheUxpc3Rpbmc6MTY2MDI5Nzc0MzE4NDYwMTI0MQ==,Loft design à Montparnasse 1 chambre – 3 personnes,Paris,Appartement,Professionnel,,,,Nouveau,,,True,,48.82811,2.32642
RGVtYW5kU3RheUxpc3Rpbmc6MTY0NTEwMDE3NzM2MjQ1ODEwOQ==,Élégant appartement rénové pour 2 à Paris,Paris,Appartement,Particulier,,969 €,969.0,Nouveau,,,True,,48.8812,2.2972
RGVtYW5kU3RheUxpc3Rpbmc6MTQ3MjMzNDczMDAwNjk0MjIyMA==,Chic Double – Confort et calme à République - 035,Paris,Hôtel,Professionnel,,,,"4,86 (44)",4.86,44.0,False,,48.87087,2.36872
RGVtYW5kU3RheUxpc3Rpbmc6MTM2OTc5OTQ5MDM2MjMzNDAxNQ==,Chambre indépendante proche Palais des Congrès,Montreuil,Chambre,,Annulation gratuite,500 €,500.0,"4,99 (80)",4.99,80.0,False,,48.8567,2.4246
RGVtYW5kU3RheUxpc3Rpbmc6MTYzNzgyMDUxMjU3MDczMDY5Mg==,Elegant Studio voltaire- Paris 11 - 2P,Paris,Appartement,Professionnel,,,,Nouveau,,,True,,48.85731224092014,2.377608885450282
RGVtYW5kU3RheUxpc3Rpbmc6ODgyNDkzODE2NTUyMDM4OTUy,Grande chambre au calme aux portes de Paris,Les Lilas,Chambre,,Annulation gratuite,347 €,347.0,"4,92 (377)",4.92,377.0,False,,48.875311035819635,2.412585294708956
RGVtYW5kU3RheUxpc3Rpbmc6MTY1NTE0OTE3NjY3NzEwODM3Mg==,"Charmant studio cosy, calme en plein cœur de Paris",Paris,Appartement,Professionnel,Annulation gratuite,620 €,620.0,Nouveau,,,True,,48.8689,2.3499
RGVtYW5kU3RheUxpc3Rpbmc6MTQ1NDU1NjE0MjIzMDcwMTA2Ng==,Havre de paix Paris,Paris,Appartement,Particulier,Annulation gratuite,,,"4,82 (61)",4.82,61.0,False,,48.86618,2.37621
RGVtYW5kU3RheUxpc3Rpbmc6MTY1MTY1MzA3MjA4ODQ3MjEyMA==,"Joli studio au cœur de Paris, central et pratique",Paris,Appartement,Particulier,,653 €,653.0,Nouveau,,,True,,48.868,2.3466
RGVtYW5kU3RheUxpc3Rpbmc6MTY2MTYxOTQ5MzM1MzY0MTMxOA==,"Appartement design, proche Buttes-Chaumont",Le Pré-Saint-Gervais,Appartement,Professionnel,,694 €,694.0,Nouveau,,,True,,48.88576,2.40116
RGVtYW5kU3RheUxpc3Rpbmc6MTY1OTYwODQ5MzI3Njk1ODcwNQ==,Paris • Élégant 2 chambres avec grand balcon,Paris,Appartement,Particulier,,869 €,869.0,Nouveau,,,True,,48.8919,2.3106
RGVtYW5kU3RheUxpc3Rpbmc6MTYzNjMwODMxMTYxNzI5NDE2NA==,Appartement à côté de la gare de Lyon – Arena Bercy,Paris,Appartement,Particulier,,,,Nouveau,,,True,,48.84015214975651,2.377111626231232
RGVtYW5kU3RheUxpc3Rpbmc6MTY2MDY3ODkyNzM0OTE2NzMwOQ==,"Le Marais Paris Centre, 2 salles de bains, 6 max.",Paris,Appartement,Professionnel,Annulation gratuite,1 407 €,1407.0,"5,0 (3)",5.0,3.0,False,,48.86,2.35501
RGVtYW5kU3RheUxpc3Rpbmc6MTQ4MjU4MDA5NTg5NTU3NTA3NQ==,Grand appart calme – 6 pers – 5 min du métro,Montreuil,Appartement,Particulier,,531 €,531.0,Nouveau,,,True,,48.87587122552771,2.449211299206865
RGVtYW5kU3RheUxpc3Rpbmc6MTA2OTE0ODgwMjI0NTQ3MzYxNg==,Vue sur la tour Eiffel de luxe et traditionnelle,Paris,Appartement,Particulier,,,,"4,91 (165)",4.91,165.0,False,,48.86263032427532,2.2926026477688692
RGVtYW5kU3RheUxpc3Rpbmc6MTY1MjgzNTAzNTQyMTY1NzM0NA==,Charmant appartement avec balcon a Courbevoie - 4P,Courbevoie,Appartement,Professionnel,Annulation gratuite,650 €,650.0,Nouveau,,,True,,48.89915928148136,2.2455138658232485
RGVtYW5kU3RheUxpc3Rpbmc6MTYwOTI4NDAyNzkwNTkzOTEzMA==,Appartement confortable a/c 1CH/4P - Saint-Mandé,Saint-Mandé,Appartement,2 lits,Annulation gratuite,,,"5,0 (5)",5.0,5.0,False,,48.8445,2.41916
